elevation,slope,twi,stream_proximity,lulc,rain_0,rain_1,rain_2,rain_3,rain_4,rain_5,rain_6,flood_label,event_date
2,2.090850353240967,16.571295565473385,48.42832246133092,40,240.84933826327324,645.7449122667313,304.0448079109192,449.46529054641724,145.31982741504908,256.5639503598213,205.77845492959023,1,2020-10-12
2,1.8543341159820557,11.283985434018371,816.5568524868933,90,207.12183041125536,603.398211479187,336.24735617637634,459.740150809288,145.39111030474305,227.59280490875244,208.7536804974079,1,2020-10-12
5,1.8543341159820557,10.878141823101197,1055.5601890013347,40,231.16093840956455,552.0828503221273,259.1463849544525,362.1158655285835,90.23084025084972,201.7499189497903,310.0544180572033,1,2020-10-12
1,0.9274099469184875,11.571704014965942,973.7394486736241,40,207.12183041125536,603.398211479187,336.24735617637634,459.740150809288,145.39111030474305,227.59280490875244,208.7536804974079,1,2020-10-12
-9999,0.966792106628418,12.446494019837544,393.6553471034297,80,240.84933826327324,645.7449122667313,304.0448079109192,449.46529054641724,145.31982741504908,256.5639503598213,205.77845492959023,1,2020-10-12
50,7.9040350914001465,9.422759550717695,885.4949543495707,80,197.89811371080577,540.4665293693542,265.0386731624603,349.959739997983,118.47668773122132,171.272074341774,185.5902356505394,1,2020-10-12
2,2.1450393199920654,11.98490787186062,327.7456083749941,40,243.38390777166933,447.0274988338351,393.79178833961487,409.54358760640025,68.4775294745341,207.8176981806755,261.54458421468735,1,2020-10-12
2,1.8543341159820557,11.28409365293981,199.55122533672017,90,240.84933826327324,645.7449122667313,304.0448079109192,449.46529054641724,145.31982741504908,256.5639503598213,205.77845492959023,1,2020-10-12
2,0.9666391015052795,11.530516856307296,225.33321400060174,40,240.84933826327324,645.7449122667313,304.0448079109192,449.46529054641724,145.31982741504908,256.5639503598213,205.77845492959023,1,2020-10-12
3,4.2845683097839355,10.731894528901236,394.0774704547477,80,243.38390777166933,447.0274988338351,393.79178833961487,409.54358760640025,68.4775294745341,207.8176981806755,261.54458421468735,1,2020-10-12
5,0.9274099469184875,12.264595115972995,839.9744093243044,40,245.7743087504059,537.2965126633644,305.37434339523315,474.4161864221096,94.22303246287629,225.56742068752646,206.68630743026733,1,2020-10-12
7,2.144545316696167,10.732653253211417,414.8175236940134,40,214.18546305783093,531.9115550518036,303.08442068099976,357.8945987224579,63.2081484682858,193.01613461971283,236.44990035891533,1,2020-10-12
3,3.704791784286499,10.185210568267323,560.7160370587767,40,250.33441385813057,531.928966999054,329.20928597450256,499.7969061732292,103.34599695261568,205.63920215331018,204.34209260344505,1,2020-10-12
3,0.9670271277427673,16.129880967543347,129.70889866343722,40,245.7743087504059,537.2965126633644,305.37434339523315,474.4161864221096,94.22303246287629,225.56742068752646,206.68630743026733,1,2020-10-12
1,5.630227088928223,11.961771617573232,24.691002884579156,90,250.00693822838366,454.4126080274582,427.82807898521423,567.0326998829842,82.16353802382946,182.0572436377406,260.7005934417248,1,2020-10-12
2,1.934659481048584,11.240859583069499,378.6710608421039,40,243.38390777166933,447.0274988338351,393.79178833961487,409.54358760640025,68.4775294745341,207.8176981806755,261.54458421468735,1,2020-10-12
7,1.339958667755127,13.805852650820595,191.62991885762904,40,214.18546305783093,531.9115550518036,303.08442068099976,357.8945987224579,63.2081484682858,193.01613461971283,236.44990035891533,1,2020-10-12
4,2.942964792251587,11.109752142081707,1278.035566330477,90,240.84933826327324,645.7449122667313,304.0448079109192,449.46529054641724,145.31982741504908,256.5639503598213,205.77845492959023,1,2020-10-12
3,4.286041259765625,10.037988525570137,973.8114001014484,90,188.71316995378584,324.93151807785034,416.1675567626953,377.2705691829324,42.58012351766229,186.31042588874698,291.8561445772648,1,2020-10-12
3,2.0910801887512207,12.010809637035285,432.9691585572451,40,250.33441385813057,531.928966999054,329.20928597450256,499.7969061732292,103.34599695261568,205.63920215331018,204.34209260344505,1,2020-10-12
-1,1.3405612707138062,11.607337038272838,792.2923292216649,40,188.71316995378584,324.93151807785034,416.1675567626953,377.2705691829324,42.58012351766229,186.31042588874698,291.8561445772648,1,2020-10-12
63,19.901586532592773,13.770849641310981,8.478104051331684,80,218.81273520784453,625.0633637905121,244.7974977493286,358.480039909482,110.99182415381074,189.96638504602015,166.51690559089184,1,2020-10-12
2,0.9274099469184875,11.571346011588325,1764.391494881119,40,250.33441385813057,531.928966999054,329.20928597450256,499.7969061732292,103.34599695261568,205.63920215331018,204.34209260344505,1,2020-10-12
2,2.0912303924560547,11.450794169344611,1162.7188263154273,40,250.00693822838366,454.4126080274582,427.82807898521423,567.0326998829842,82.16353802382946,182.0572436377406,260.7005934417248,1,2020-10-12
4,0.967495322227478,11.528766166939663,659.4806253271535,40,243.38390777166933,447.0274988338351,393.79178833961487,409.54358760640025,68.4775294745341,207.8176981806755,261.54458421468735,1,2020-10-12
-9999,0.9669108986854553,11.935425132382855,1144.7245940602031,90,207.12183041125536,603.398211479187,336.24735617637634,459.740150809288,145.39111030474305,227.59280490875244,208.7536804974079,1,2020-10-12
