system:index,elevation,flood_label,lulc,rain_0,rain_1,rain_2,rain_3,rain_4,rain_5,rain_6,slope,twi,.geo
1923,1,0,10,41.90999846160412,16.759999630972743,36.129999205470085,41.55999889224768,0.6599999889731407,2.8399999756366014,-9999,2.935333,3.663678666345156,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.39350855605977,10.383625548407984]}"
1924,4,0,10,15.879999481141567,38.64999893307686,18.589999621734023,34.94999923929572,4.829999836161733,2.1299999747425318,0.9299999624490738,0.92740995,4.123500053280157,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.15706739899764,9.693180421033723]}"
1925,2,0,40,41.51999904215336,5.389999905601144,20.8599995598197,41.159999527037144,0.2799999937415123,5.439999796450138,0.05999999865889549,2.0792189,4.0089436097919515,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.46708057782917,9.81606995190127]}"
1926,2,0,60,36.85999910533428,6.399999916553497,22.279999282211065,29.519999351352453,0.2299999911338091,2.4399999491870403,-9999,3.822011,2.705966287733729,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.2865192057211,10.072359302460569]}"
1927,2,0,10,13.179999629035592,35.18999928236008,21.659999206662178,36.41999904811382,13.789999762549996,0.6099999826401472,0.8999999612569809,2.640455,4.868327744298348,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.07621902342686,9.672968327141028]}"
1928,1,0,10,26.529999151825905,8.489999882876873,18.60999978519976,30.629999367520213,6.229999819770455,3.3099998869001865,0.07000000029802322,0.92740995,4.123500053280157,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.90437588385669,9.790467966303865]}"
1929,6,0,10,33.7399992197752,16.069999754428864,14.279999807476997,31.229999095201492,0.2199999988079071,4.739999882876873,0.14000000059604645,5.456478,2.348394712049299,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.90976577556137,10.269359844267981]}"
1930,7,0,10,39.569999132305384,13.12999982200563,24.13999937288463,39.819999039173126,0.29999998956918716,2.909999907016754,-9999,3.9607959,3.768800401478437,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.20324537888325,10.260736017540431]}"
1931,7,0,10,36.999999321997166,32.14999927021563,9.919999614357948,21.279999485239387,19.149999568238854,11.979999713599682,0.5099999867379665,5.547545,2.3317405888803426,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.48962371717869,10.374732227095201]}"
1932,2,0,50,21.189999617636204,18.539999417960644,16.349999777972698,36.07999921962619,9.839999729767442,11.77999965660274,16.049999628216028,5.9515824,3.6472593033812304,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.3160692042868,9.767560926558815]}"
1933,1,0,40,41.51999904215336,5.389999905601144,20.8599995598197,41.159999527037144,0.2799999937415123,5.439999796450138,0.05999999865889549,0.94142354,4.801647142773056,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.41668509039005,9.899074284153912]}"
1934,5,0,40,23.11999942548573,8.829999754205346,13.9999996162951,45.259998708963394,2.769999947398901,10.979999855160713,0.25999999791383743,2.0788336,3.3159819116570683,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.98333779733076,9.511002081414283]}"
1935,-1,0,40,40.08999851718545,28.929999563843012,15.229999566450715,27.24999962002039,2.1099999267607927,8.669999923557043,1.8699999675154686,1.8853133,4.800067169498689,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.87338400655455,10.404646126056377]}"
1936,3,0,10,32.899999337270856,25.269999200478196,14.499999642372131,43.24999909847975,12.519999496638775,8.899999856948853,5.369999893009663,1.3219968,3.7689070035419814,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.63703725530269,10.194170854987178]}"
